StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q2,TenBad_1,TenBad_2,FortyFiveBad_1,FortyFiveBad_2,FortyFivegood_1,FortyFivegood_2,TenGood_1,TenGood_2
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"The purpose of this survey is to evaluate opinions of people based on their behavior. Your participation in this survey is voluntary and anonymous. No identifying information will be collected and responses from this survey will not be shared outside of an academic environment. Your participation is appreciated. If you consent to taking this survey, please select ""I consent"" below. Once you click continue, please answer the questions to the best of your ability.",What gender do you identify as?,What is your age?,What is your race? (Select all that apply),"Please read the following vignette and rate your agreement with the statements below.

Sam is ten years old. One day, Sam decides to bake a cake and makes a mess in the kitchen. When Sam is done with baking, Sam leaves the kitchen without cleaning up the mess and eats the cake without sharing. - Sam's behavior is good","Please read the following vignette and rate your agreement with the statements below.

Sam is ten years old. One day, Sam decides to bake a cake and makes a mess in the kitchen. When Sam is done with baking, Sam leaves the kitchen without cleaning up the mess and eats the cake without sharing. - Sam seems likeable","Please read the following vignette and rate your agreement with the statements below.

Sam is forty-five years old. One day, Sam decides to bake a cake and makes a mess in the kitchen. When Sam is done with baking, Sam leaves the kitchen without cleaning up the mess and eats the cake without sharing. - Sam's behavior is good","Please read the following vignette and rate your agreement with the statements below.

Sam is forty-five years old. One day, Sam decides to bake a cake and makes a mess in the kitchen. When Sam is done with baking, Sam leaves the kitchen without cleaning up the mess and eats the cake without sharing. - Sam seems likable","Please read the following vignette and rate your agreement with the statements below.

Sam is forty-five years old. One day Sam decides to bake a cake and makes a mess in the kitchen. When Sam is done with baking, Sam cleans up the kitchen and shares the cake with friends. - Sam's behavior is good","Please read the following vignette and rate your agreement with the statements below.

Sam is forty-five years old. One day Sam decides to bake a cake and makes a mess in the kitchen. When Sam is done with baking, Sam cleans up the kitchen and shares the cake with friends. - Sam seems likable","Please read the following vignette and rate your agreement with the statements below.

Sam is ten years old. One day Sam decides to bake a cake and makes a mess in the kitchen. When Sam is done with baking, Sam cleans up the kitchen and shares the cake with friends. - Sam's behavior is good","Please read the following vignette and rate your agreement with the statements below.

Sam is ten years old. One day Sam decides to bake a cake and makes a mess in the kitchen. When Sam is done with baking, Sam cleans up the kitchen and shares the cake with friends. - Sam seems likeable"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID4""}","{""ImportId"":""QID3""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID5_2""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID6_2""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID7_2""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID8_2""}"
2023-04-18 16:30:21,2023-04-18 16:34:20,IP Address,131.229.238.204,100,239,True,2023-04-18 16:34:21,R_1dAjGsFGwjzuw6x,,,,,42.3182,-72.6419,anonymous,EN,I CONSENT,Cis female,22 - 24 years old,Asian,,,,,,,,
2023-04-18 16:40:44,2023-04-18 16:42:15,IP Address,131.229.156.48,100,90,True,2023-04-18 16:42:16,R_3G8nOiXi2mmKcEH,,,,,42.3251,-72.6276,anonymous,EN,I CONSENT,Cis female,22 - 24 years old,Asian,,,,,,,Strong Agree,Agree
2023-04-18 17:06:17,2023-04-18 17:07:07,IP Address,131.229.238.184,100,50,True,2023-04-18 17:07:07,R_PIKndHieY9O54rf,,,,,42.3182,-72.6419,anonymous,EN,I CONSENT,Non-binary / third gender,20-21 years old,White,,,Strong Disagree,Neither Agree nor Disagree,,,,
2023-04-18 22:55:46,2023-04-18 22:56:12,IP Address,131.229.147.165,100,26,True,2023-04-18 22:56:12,R_RKsxm7czlU4c1EJ,,,,,42.3182,-72.6419,anonymous,EN,I CONSENT,Cis female,20-21 years old,Hispanic or Latino,,,Disagree,Strong Disagree,,,,
2023-04-19 11:09:44,2023-04-19 11:10:20,IP Address,131.229.145.144,100,35,True,2023-04-19 11:10:20,R_3EEDabNgEU8144i,,,,,42.3182,-72.6419,anonymous,EN,I CONSENT,Cis female,18-19 years old,White,,,,,Agree,Agree,,
2023-04-19 11:09:42,2023-04-19 11:10:22,IP Address,131.229.139.78,100,40,True,2023-04-19 11:10:23,R_2PBv1GTF6oUVZnq,,,,,42.3182,-72.6419,anonymous,EN,I CONSENT,Cis female,18-19 years old,White,,,,,,,Strong Agree,Strong Agree
2023-04-19 11:11:06,2023-04-19 11:11:35,IP Address,131.229.151.97,100,29,True,2023-04-19 11:11:36,R_1GEbeJAz2jsITaN,,,,,42.3182,-72.6419,anonymous,EN,I CONSENT,Cis female,18-19 years old,White,Disagree,Disagree,,,,,,
2023-04-19 11:11:45,2023-04-19 11:12:21,IP Address,131.229.46.188,100,36,True,2023-04-19 11:12:22,R_2csEiBuXQXIPyYF,,,,,42.3182,-72.6419,anonymous,EN,I CONSENT,Cis female,20-21 years old,White,,,,,,,Strong Agree,Agree
